Story,Task,Estimate min (hr),Estimate max (hr),Actual (hr),Comment
Project Kickoff,"preliminary drawing board time, estimates.csv, scaffold services",2,4,2.5,
Core Scope,,,,,
Auth Service,Implement registration/login/JWT,4,6,4,
Telemetry Service,API endpoint + ingestion logic,3,6,2.5,
Conversational AI Service,Wrap TogetherAI API + intent→query logic,3,4,2,
Data Persistence,Design DB schema (users/devices/telemetry) + seed data + indexing,2,5,5,
Frontend MVP,Login flow + device list + single-chart,5,10,,
DevOps & Deploy,Dockerize all services & PostgreSQL + docker-compose.yml,2,4,,
Tests & Docs,Unit tests + 1 integration test + OpenAPI/Swagger,3,4,,
UI Polish,Branding/KPI cards/tooltips/loaders,4,10,,
System Design,Architecture write-up + diagram + pseudo-code,2,3,,
Loom & Final Buffer,Record demo + last-minute fixes,1,3,,
Stretch Goals,,,,,
Stretch Goals (optional),"Implement one or more (chat UI, real-time charts, hosted deploy, CI/CD, analytics)",4,8,,